Date,Temperature,Humidity,Precipitation
24-09-2020,-1.12,81.42,0.05
25-09-2020,-8.45,73.49,1.95
26-09-2020,-9.1,86.04,1.92
27-09-2020,-8.12,45.43,2.41
28-09-2020,-10.96,73.74,2.24
29-09-2020,5.84,55.09,1.88
30-09-2020,-13.48,78.7,0.48
01-10-2020,-9.88,67.05,0.8
02-10-2020,2.23,45.2,0.14
03-10-2020,-5.93,35.45,1.71
04-10-2020,-7.03,84.91,41.62
05-10-2020,-9.71,82.34,1.67
06-10-2020,-9.47,30.48,0.31
07-10-2020,-2.5,60.85,2.47
08-10-2020,7.1,37.45,3.08
09-10-2020,-3.76,47.04,2.77
10-10-2020,-1.13,54.12,6.45
11-10-2020,-8.46,55.56,0.92
12-10-2020,-1.11,85.93,1.06
13-10-2020,-4.84,56.12,0.78
14-10-2020,4.05,40.79,0.18
15-10-2020,-8.01,82.44,0.15
16-10-2020,-6.91,57.13,1.35
17-10-2020,-0.17,88.44,0.29
18-10-2020,1.27,60.52,38.59
19-10-2020,-2.05,51,2.02
20-10-2020,-14.19,71.92,1.29
21-10-2020,-5.45,53.75,3.66
22-10-2020,-8.55,69.99,1.23
23-10-2020,-7.94,81.09,0.43
24-10-2020,-1.58,43.38,0.3
25-10-2020,-0.31,85.84,0.3
26-10-2020,0.27,44.32,0.55
27-10-2020,-11.71,73.09,6.33
28-10-2020,2.03,41.28,2.42
29-10-2020,-10.71,38.67,4.15
30-10-2020,1.21,70.32,0.86
31-10-2020,-5.24,45.24,0.06
01-11-2020,-0.34,71.76,2.41
02-11-2020,-0.24,41.79,0.02
03-11-2020,4.71,79.02,0.92
04-11-2020,2.77,50.48,0.41
05-11-2020,1.82,67.64,0.03
06-11-2020,-2.47,32.38,0.65
07-11-2020,-6.24,70.19,3.5
08-11-2020,1.46,81.67,0.47
09-11-2020,-0.29,41.41,1.74
10-11-2020,-0.42,55.25,1.68
11-11-2020,-1.19,71.17,2.42
12-11-2020,5.42,85.31,2.61
13-11-2020,0.48,43.08,4.31
14-11-2020,1.73,46.98,6.11
15-11-2020,10.7,72.07,0.84
16-11-2020,0.91,82.03,22.27
17-11-2020,4.23,41.88,2.94
18-11-2020,-4.4,82.63,0.42
19-11-2020,-3.66,57.57,0.01
20-11-2020,-1.79,61.89,2.2
21-11-2020,-5.47,33.76,1.65
22-11-2020,3.16,89.22,0.36
23-11-2020,-1.51,89.76,0.22
24-11-2020,-10.62,74.52,6.71
25-11-2020,9.69,64.35,0.2
26-11-2020,0.96,61.4,5.15
27-11-2020,0.23,69.14,0.52
28-11-2020,-0.89,35.62,1.92
29-11-2020,3.11,42.95,2.1
30-11-2020,6.39,50.96,6.48
01-12-2020,0.92,32.54,0.03
02-12-2020,7.1,47.23,0.51
03-12-2020,11.55,64.83,2.02
04-12-2020,-2.05,76.26,8.53
05-12-2020,-0.03,55.53,0.29
06-12-2020,-3.5,87.86,5.05
07-12-2020,1.29,74.13,0.35
08-12-2020,-4.35,54.22,0.55
09-12-2020,5.23,44.71,2.04
10-12-2020,5.37,87.8,2.41
11-12-2020,5.58,47.68,2.02
12-12-2020,6.26,87.37,2.71
13-12-2020,-3.93,30.8,3.91
14-12-2020,5.58,50.16,30.58
15-12-2020,5.82,78.78,3.33
16-12-2020,6.9,80.8,3.5
17-12-2020,2.54,75.76,3.11
18-12-2020,2.25,71.98,0.91
19-12-2020,-1.03,61.21,0.21
20-12-2020,7.06,44.61,1.28
21-12-2020,6.97,45.3,3.06
22-12-2020,22.51,83.87,5.84
23-12-2020,4.3,68.66,3.52
24-12-2020,10.05,34.69,3.63
25-12-2020,15.94,69.6,47.01
26-12-2020,2.4,87.02,2.61
27-12-2020,6.1,38.06,0
28-12-2020,9.28,89.9,0.63
29-12-2020,17.37,70.94,4.85
30-12-2020,3.84,85.35,0.12
31-12-2020,8.45,78.48,1.2
01-01-2021,10.96,55.72,1.24
02-01-2021,15.88,71.65,1.43
03-01-2021,5.17,73.54,0.78
04-01-2021,7.55,43.55,0.4
05-01-2021,10.24,57.88,43.79
06-01-2021,15.84,40.33,1.19
07-01-2021,8.98,83.37,1.94
08-01-2021,16.46,43,3.48
09-01-2021,7.62,33.13,0.92
10-01-2021,15.87,43.4,1.65
11-01-2021,6,81.06,0.1
12-01-2021,9.83,52.39,1.35
13-01-2021,13.43,48.58,0.82
14-01-2021,14.29,51.58,0.3
15-01-2021,15.49,41.83,0.37
16-01-2021,16.47,64.66,3.66
17-01-2021,12.63,35.31,8.58
18-01-2021,13.12,41.08,0.44
19-01-2021,9.27,76.23,0.8
20-01-2021,13.18,75.04,0.75
21-01-2021,11.94,43.54,1.87
22-01-2021,19.03,40.38,6.26
23-01-2021,19.1,43.38,0.75
24-01-2021,7.83,64.54,1.17
25-01-2021,21.83,74.1,0.03
26-01-2021,16.5,49.28,5.2
27-01-2021,19.3,76.42,0.69
28-01-2021,18.33,51.02,11.44
29-01-2021,17.66,39.91,1.37
30-01-2021,18.04,31.48,0.96
31-01-2021,26.61,69.89,2.51
01-02-2021,18.21,59.4,1.98
02-02-2021,18.18,46.94,0.07
03-02-2021,17.02,73.5,1.36
04-02-2021,9.9,81.32,1.75
05-02-2021,18.22,79.1,1.33
06-02-2021,14.29,78.45,0.08
07-02-2021,24.61,80.46,1.85
08-02-2021,24.9,53.01,2.64
09-02-2021,24.23,59.39,17.46
10-02-2021,27.73,48.12,3.23
11-02-2021,24.9,51.25,0.21
12-02-2021,14.9,83.02,0.4
13-02-2021,9.32,32.68,8.83
14-02-2021,14.92,67.87,3.28
15-02-2021,20.08,62.71,7.25
16-02-2021,27.39,68.08,0.09
17-02-2021,24.48,59.87,4.98
18-02-2021,23.03,70.19,0.38
19-02-2021,21.16,50.57,0.42
20-02-2021,15.69,88.67,1.61
21-02-2021,17.75,52.15,3.8
22-02-2021,24.22,40.38,3.89
23-02-2021,15.54,52.27,1.47
24-02-2021,23.69,57.27,0.05
25-02-2021,21.47,71.54,1.57
26-02-2021,22.16,39.3,0.48
27-02-2021,18.97,82.38,4.19
28-02-2021,24.68,73.98,0.01
01-03-2021,23.49,85.38,1.27
02-03-2021,29.35,30.98,2.95
03-03-2021,21.61,36.07,1.04
04-03-2021,25.98,49.25,5.98
05-03-2021,27.07,78.43,1.06
06-03-2021,27.9,74.12,0.09
07-03-2021,32.67,69.63,4.59
08-03-2021,22.9,61.45,3.14
09-03-2021,19.21,30.41,1.27
10-03-2021,24.07,84.89,0.54
11-03-2021,28.77,46.49,3.34
12-03-2021,17.85,56.45,1.09
13-03-2021,22.88,46.09,0.77
14-03-2021,26.52,86.16,0.53
15-03-2021,26.59,41.26,4.1
16-03-2021,27.64,89.39,0.48
17-03-2021,15.08,58.95,6.1
18-03-2021,27.47,62.97,37.99
19-03-2021,29.49,89.45,0.52
20-03-2021,18.5,87.1,43.56
21-03-2021,26.93,62.22,0.83
22-03-2021,28.05,50.56,0.23
23-03-2021,24.6,39.18,0.97
24-03-2021,21.43,52.26,2.74
25-03-2021,25.71,47.55,1.53
26-03-2021,25.53,39.82,1.17
27-03-2021,28.92,66.09,1.5
28-03-2021,20.75,42.62,0.09
29-03-2021,26.02,53.35,13.06
30-03-2021,28.81,85.88,1.54
31-03-2021,31.01,79.54,0.17
01-04-2021,26.76,57.96,1.89
02-04-2021,22.5,51.02,0.35
03-04-2021,18.11,39.42,40
04-04-2021,22.88,49.83,2.84
05-04-2021,20.11,85.99,2.32
06-04-2021,28.36,88.77,5.71
07-04-2021,26.61,73.9,1.99
08-04-2021,20.12,37.21,2.47
09-04-2021,27,87.98,2.12
10-04-2021,28.21,57.37,2.37
11-04-2021,27.59,34.63,0.42
12-04-2021,25.07,30.74,3.2
13-04-2021,20.63,72.37,8.71
14-04-2021,27.21,51.73,3.22
15-04-2021,19.18,61.25,1.21
16-04-2021,31.1,58.48,1.5
17-04-2021,16.64,79.73,0.14
18-04-2021,18.27,68.76,1.06
19-04-2021,15.56,41.77,0.12
20-04-2021,27.73,72.91,1.9
21-04-2021,23.8,78.77,1.5
22-04-2021,27.75,79.51,0.62
23-04-2021,27.1,82.04,5.26
24-04-2021,21.73,46.57,2.34
25-04-2021,13.07,73.61,58.91
26-04-2021,26.21,38.95,1.72
27-04-2021,24.86,35.31,0.57
28-04-2021,18.72,72.37,3.64
29-04-2021,20.18,49.94,0.1
30-04-2021,28.54,82.27,0.56
01-05-2021,29.65,59.96,0.03
02-05-2021,28.76,33.49,2.05
03-05-2021,26.77,45.36,0.1
04-05-2021,32.48,47.89,2.16
05-05-2021,42.3,44.95,0.73
06-05-2021,25.18,87.54,2.49
07-05-2021,17.8,82.16,3.68
08-05-2021,20.94,80.39,0.45
09-05-2021,17.6,52.25,0
10-05-2021,25.17,53.85,1.69
11-05-2021,15.66,68.64,1.97
12-05-2021,21.86,65.8,6.15
13-05-2021,15.6,38.04,0.08
14-05-2021,21.46,65.88,2.93
15-05-2021,14.54,30.15,1.16
16-05-2021,26.58,65.84,1.4
17-05-2021,17.49,40.83,1.36
18-05-2021,28.05,74.72,5.42
19-05-2021,24.69,85.73,0.88
20-05-2021,15.8,30.14,1.97
21-05-2021,15.3,80.3,1.56
22-05-2021,18.38,53.57,1.09
23-05-2021,18.03,84,1.03
24-05-2021,17.35,70.09,2.59
25-05-2021,31.28,73.01,3.22
26-05-2021,7.97,80.27,5.89
27-05-2021,13.74,73.75,0.62
28-05-2021,16.54,83.5,0.18
29-05-2021,13.54,72.01,1.19
30-05-2021,13.14,80.05,0.34
31-05-2021,19.88,86.48,2.93
01-06-2021,6.31,33.26,1.07
02-06-2021,13.57,78.85,0.68
03-06-2021,18.54,45.7,0.1
04-06-2021,17.29,63.28,0.09
05-06-2021,17.56,61.11,5.48
06-06-2021,15.49,75.82,0.86
07-06-2021,13.99,53.78,0.33
08-06-2021,11.64,75.15,2.14
09-06-2021,24.51,35.65,0.71
10-06-2021,17.24,57.73,0.26
11-06-2021,14.98,35,1.17
12-06-2021,22.17,81.67,16.22
13-06-2021,24.73,61.37,2.62
14-06-2021,18.77,79.93,3.99
15-06-2021,15.62,59.76,0.13
16-06-2021,12.4,49.91,0.63
17-06-2021,15.98,33.68,0.17
18-06-2021,6.02,85.59,0.39
19-06-2021,6.73,52.59,4.71
20-06-2021,21.96,70.67,0.21
21-06-2021,12.87,85.68,0.78
22-06-2021,16.73,55.87,0.14
23-06-2021,8.47,51.78,0.48
24-06-2021,11.03,86.44,7.55
25-06-2021,5.24,56.97,2.1
26-06-2021,6.65,64.3,0.6
27-06-2021,8.08,51.13,3.02
28-06-2021,8.62,52.69,1.82
29-06-2021,14.3,53.59,2.14
30-06-2021,9.68,61.47,0.26
01-07-2021,15.65,65.37,16.44
02-07-2021,9.44,63.94,2.97
03-07-2021,3.99,34.51,2.73
04-07-2021,8.9,44.01,0.52
05-07-2021,16.45,47.47,0.57
06-07-2021,8.13,57.73,0.81
07-07-2021,11.35,69.24,0.25
08-07-2021,3.85,66.37,0.07
09-07-2021,-2.15,88.74,4.3
10-07-2021,20.69,37.56,3.42
11-07-2021,6.91,78.4,2.66
12-07-2021,6.93,79.83,1.59
13-07-2021,4.64,50.6,0.72
14-07-2021,7.34,76.57,1.26
15-07-2021,3.78,58.27,0.12
16-07-2021,2.01,32.41,37.26
17-07-2021,0.96,53.34,0.74
18-07-2021,7.64,40.1,4.13
19-07-2021,3.98,37.97,19.55
20-07-2021,-1.16,56.7,0.23
21-07-2021,1.78,42.44,0.06
22-07-2021,7.85,64.69,3.14
23-07-2021,1.34,65.45,2.27
24-07-2021,11.04,87.26,1.25
25-07-2021,7.04,68.28,5.13
26-07-2021,14.29,64.95,2.67
27-07-2021,-3.45,52.82,2.82
28-07-2021,2.55,62.19,1.33
29-07-2021,-0.97,78.17,0.05
30-07-2021,5.12,33.66,1.48
31-07-2021,3.08,76.5,0.21
01-08-2021,0.58,79.32,3.62
02-08-2021,0.84,72.97,2.55
03-08-2021,-0.47,70.1,5.21
04-08-2021,3.19,46.53,4.58
05-08-2021,-2.38,78.09,0.17
06-08-2021,-2.3,89.49,4.3
07-08-2021,-0.05,65.73,1.17
08-08-2021,2.95,52.94,1.49
09-08-2021,0.37,54.25,2.3
10-08-2021,-2.82,64.34,0.41
11-08-2021,2.59,82.47,1.76
12-08-2021,9.82,56.51,4.37
13-08-2021,-1.34,44.16,0.37
14-08-2021,5.27,84.05,2.59
15-08-2021,5.4,77.19,0.99
16-08-2021,-2.22,37.43,3.81
17-08-2021,6.02,40.73,2
18-08-2021,1.65,34.59,3.82
19-08-2021,-3.15,69.47,0.52
20-08-2021,8.51,41.78,3.7
21-08-2021,-10.02,66.2,2.16
22-08-2021,-2.74,39.88,1.04
23-08-2021,-3.03,86.35,1.99
24-08-2021,-5.01,55.93,1.99
25-08-2021,-1.03,85.06,2.09
26-08-2021,-8.36,58.9,15.05
27-08-2021,4.19,78.94,3.29
28-08-2021,-10,86.37,2.85
29-08-2021,0.26,89.5,2.27
30-08-2021,-6.14,73.21,0.68
31-08-2021,-0.84,81.33,1.34
01-09-2021,-6.81,73.94,0.03
02-09-2021,2.87,88.43,0.64
03-09-2021,-13.24,49.83,0.19
04-09-2021,-11.99,86.09,0.18
05-09-2021,-10.37,57.68,1.52
06-09-2021,-0.43,47.24,2.39
07-09-2021,-4.96,76.79,0.38
08-09-2021,-0.06,39.58,1.25
09-09-2021,-10.81,36.38,3.92
10-09-2021,-2.18,55.5,2.97
11-09-2021,-9.89,68.52,0.74
12-09-2021,7.3,48.65,5.02
13-09-2021,-8.82,66.06,0.92
14-09-2021,-0.37,38.22,1.56
15-09-2021,-1.42,80.2,1.19
16-09-2021,-0.52,40.26,1.1
17-09-2021,0.17,86.63,4.33
18-09-2021,-7.72,87.07,0.22
19-09-2021,0.63,48.56,2.21
20-09-2021,-3.43,35.6,1.35
21-09-2021,-14.7,67.87,4.36
22-09-2021,-1.08,67.71,2.45
23-09-2021,-4.34,48.16,0.48
24-09-2021,-6.01,63.49,0.55
25-09-2021,-10.35,57.88,0.34
26-09-2021,0.77,55.42,3.74
27-09-2021,-5.76,84.09,2.68
28-09-2021,-7.09,85.37,3.84
29-09-2021,-8.12,43.17,0.95
30-09-2021,-3.68,89.56,0.92
01-10-2021,-0.89,67.91,2.67
02-10-2021,-1.03,87.47,0.98
03-10-2021,-5.27,41,2.87
04-10-2021,-8.98,39.78,3.36
05-10-2021,-1.33,39.73,0.17
06-10-2021,-9.05,57.25,6.08
07-10-2021,-1.27,79.29,2.96
08-10-2021,-7.29,32.16,0.18
09-10-2021,-0.89,73.04,0.95
10-10-2021,-6.45,32.7,1.1
11-10-2021,-0.24,81.39,1.88
12-10-2021,-13.49,81.94,0.09
13-10-2021,-0.86,78.12,2.36
14-10-2021,-6.5,88.79,2.52
15-10-2021,-0.95,60.8,1.06
16-10-2021,-3.01,65.23,1.95
17-10-2021,-15.28,67.57,1.3
18-10-2021,7.89,43.59,12.21
19-10-2021,-8.1,61.79,1.35
20-10-2021,-5.04,78.01,2.75
21-10-2021,2.38,34.78,0.62
22-10-2021,2.77,39.89,0.65
23-10-2021,-12.1,43.05,45.58
24-10-2021,-2.89,64.68,0.75
25-10-2021,0.41,32.54,0.11
26-10-2021,-6.51,59.05,0.03
27-10-2021,0.27,62.18,0.84
28-10-2021,-3.09,30.43,1.47
29-10-2021,-1.67,57.63,30.59
30-10-2021,-11.5,88.2,0.13
31-10-2021,-1.57,81.8,0.29
01-11-2021,-7.15,34.69,0.14
02-11-2021,-9.27,57.07,4.28
03-11-2021,-1.31,74.66,0.16
04-11-2021,-4.82,30.38,1.46
05-11-2021,-3.77,79.93,15.21
06-11-2021,-3.99,52.12,1.84
07-11-2021,6.82,63.39,0.71
08-11-2021,-8.43,36.11,0.21
09-11-2021,1.21,60.91,2.03
10-11-2021,0.97,85.56,1.17
11-11-2021,-1.31,31.41,1.35
12-11-2021,-8.53,34.6,0.17
13-11-2021,-11.37,32.18,5.2
14-11-2021,-5.41,46.53,0.05
15-11-2021,4.74,70.29,14.66
16-11-2021,1.32,74.31,0.13
17-11-2021,-9.33,43.58,2.66
18-11-2021,13.69,59.83,3.5
19-11-2021,-4.92,63.8,1.76
20-11-2021,0.83,50.9,2.13
21-11-2021,-1.03,67.69,0.14
22-11-2021,-0.36,60.06,14.88
23-11-2021,-0.64,81.55,0.28
24-11-2021,0.73,59.2,0.2
25-11-2021,-0.08,81.17,31.33
26-11-2021,-0.59,43.76,3.43
27-11-2021,8.5,80.48,3.46
28-11-2021,-1.88,57.59,46.43
29-11-2021,2.36,48.46,0.38
30-11-2021,-0.26,80.67,2.15
01-12-2021,-1.41,50.21,0.38
02-12-2021,-2.17,58.4,0.14
03-12-2021,3.15,60,0.12
04-12-2021,8.83,54.71,3.37
05-12-2021,-3.36,53.74,4.43
06-12-2021,-1.65,62.44,0.48
07-12-2021,0.46,46.33,1.26
08-12-2021,-4.24,80.88,3.71
09-12-2021,16.17,89.21,43.64
10-12-2021,3.14,38.8,1.87
11-12-2021,5.12,89.9,4.54
12-12-2021,7.15,37.32,4.85
13-12-2021,3.26,79.52,3.99
14-12-2021,9.51,64.22,2.24
15-12-2021,-3.37,40.99,0.12
16-12-2021,-0.31,73.68,2.96
17-12-2021,9.14,65.29,3.67
18-12-2021,5.48,30.68,26.95
19-12-2021,13.19,46.23,3.76
20-12-2021,4.93,50.06,2.37
21-12-2021,6.83,78.39,1.34
22-12-2021,2.59,56.29,2.01
23-12-2021,3.37,65.54,2.24
24-12-2021,4.52,47.99,19.98
25-12-2021,7.27,55.27,1.31
26-12-2021,13.97,67.35,2.15
